Generated data
------------------------
Period	Type	Category	Account	Cost Centre	Description	Amount
3/1/2020	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-32446.75
3/2/2020	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-5366.2
3/3/2020	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-28446.11
3/4/2020	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-82488.19
3/5/2020	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-66730.76
3/6/2020	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-66990.47
3/7/2020	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-38112.15
3/8/2020	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-83262.99
3/9/2020	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-64496.09
3/10/2020	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-22086.8
3/11/2020	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-67801.26
3/12/2020	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-10144.62
3/1/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-265.63
3/2/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-41166.74
3/3/2019	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-85597.49
3/4/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-86310.7
3/5/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-22678.57
3/6/2019	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-27768.24
3/7/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-66888.69
3/8/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-96628.45
3/9/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-35717.72
3/10/2019	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-20804.38
3/11/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-50891.91
3/12/2019	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-71120.87
3/1/2018	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-30995.51
3/2/2018	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-81001.28
3/3/2018	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-48101.64
